ward_id,wardcode,wardname,lganame
1,LASAON03,Agboju and Environ,Amuwo Odofin
2,LASSMU05,Bashua East and West,Shomolu
3,LASEOA12,Ikoyi 2,Eti Osa
4,LASMUN04,Babalosa 2,Mushin
5,LASAMO03,Abesan 2,Alimosho
6,LASEOA05,Apese / 6 Extension,Eti Osa
7,LASIKA08,Ojodu,Ikeja
8,LASEOA20,Victoria Island,Eti Osa
9,LASEOA11,Ikoyi 1,Eti Osa
10,LASSUE21,Sanusi 1,Surulere
11,LASMUN03,Babalosa 1,Mushin
12,LASAMO02,Abesan 1,Alimosho
13,LASIKA06,G R A,Ikeja
14,LASIKA16,Orile Ikeja,Ikeja
15,LASIKA14,Opebi,Ikeja
16,LASIKA03,Alade,Ikeja
17,LASIKA04,Alausa,Ikeja
18,LASSUE20,Ramoni,Surulere
19,LASEOA15,Maroko / Okun Alfa,Eti Osa
20,LASSUE04,Akinhanmi Cole,Surulere
21,LASIKA11,Olusosun,Ikeja
22,LASIKA15,Oregun,Ikeja
23,LASSUE16,Obele Oniwala,Surulere
24,LASAMO29,Mosan / Akinoggun,Alimosho
25,LASMUN10,Kayode / Fadeyi,Mushin
26,LASAMO13,Atan Lagos,Alimosho
27,LASKSE19,Orile-Ikosi,Kosofe
28,LASMUN05,Idi-Araba,Mushin
29,LASIKU17,Isele,Ikorodu
30,LASIKU26,Olori / Eyita,Ikorodu
31,LASAON13,Odofin,Amuwo Odofin
32,LASLMD06,Aloba / Desalu,Lagos Mainland
33,LASIKU15,Ipakodo,Ikorodu
34,LASAPA05,Apapa,Apapa
35,LASIKU28,Owutu,Ikorodu
36,LASAPA12,Sari,Apapa
37,LASOJO01,Ajangbadi,Ojo
38,LASEOA10,Ikate / Lekki,Eti Osa
39,LASIKA17,Seriki-Aro,Ikeja
40,LASIKU23,Odogunyan,Ikorodu
41,LASLID14,Oke-Arin / Idumota,Lagos Island
42,LASLID12,Lafiaji,Lagos Island
43,LASIOE10,Ijaiye / Ifako,Ifako/Ijaye
44,LASKSE20,Orile-Ketu,Kosofe
45,LASIKA12,Onigbongbo,Ikeja
46,LASAGG02,Awori Oniwaya,Agege
47,LASOIO04,Ajao Estate,Oshodi/Isolo
48,LASKSE15,Ogudu,Kosofe
49,LASKSE05,Anthony,Kosofe
50,LASIKU06,Ajaguro,Ikorodu
51,LASOJO12,Okokomaiko,Ojo
52,LASEOA04,Ajiran / Osapa,Eti Osa
53,LASOIO17,Oke-Afa,Oshodi/Isolo
54,LASAGG08,Orile,Agege
55,LASEOA06,Badore / Langbasa,Eti Osa
56,LASEPE18,Papa,Epe
